date,round,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,match
2025-06-15 00h,1,Al Ahly,,0,x,0,,Inter Miami,al_ahly-vs-inter_miami
2025-06-15 16h,1,Bayern de Munique,,10,x,0,,Auckland City,bayern_de_munique-vs-auckland_city
2025-06-15 19h,1,Paris Saint-Germain,,4,x,0,,Atlético de Madrid,paris_saint_germain-vs-atlético_de_madrid
2025-06-15 22h,1,Palmeiras,,0,x,0,,Porto,palmeiras-vs-porto
2025-06-16 02h,1,Botafogo,,2,x,1,,Seattle Sounders,botafogo-vs-seattle_sounders
2025-06-16 19h,1,Chelsea,,2,x,0,,Los Angeles FC,chelsea-vs-los_angeles_fc
2025-06-16 22h,1,Boca Juniors,,2,x,2,,Benfica,boca_juniors-vs-benfica
2025-06-17 01h,1,Flamengo,,2,x,0,,Espérance,flamengo-vs-espérance
2025-06-17 16h,1,Fluminense,,0,x,0,,Borussia Dortmund,fluminense-vs-borussia_dortmund
2025-06-17 19h,1,River Plate,,3,x,1,,Urawa Reds,river_plate-vs-urawa_reds
2025-06-17 23h,1,Ulsan HD,,0,x,1,,Mamelodi Sundowns,ulsan_hd-vs-mamelodi_sundowns
2025-06-18 01h,1,Monterrey,,1,x,1,,Internazionale,monterrey-vs-internazionale
2025-06-18 16h,1,Manchester City,,2,x,0,,Wydad Casablanca,manchester_city-vs-wydad_casablanca
2025-06-18 19h,1,Real Madrid,,1,x,1,,Al-Hilal,real_madrid-vs-al_hilal
2025-06-18 22h,1,Pachuca,,1,x,2,,RB Salzburg,pachuca-vs-rb_salzburg
2025-06-19 01h,1,Al-Ain,,0,x,5,,Juventus,al_ain-vs-juventus
2025-06-19 16h,2,Palmeiras,,2,x,0,,Al Ahly,palmeiras-vs-al_ahly
2025-06-19 19h,2,Inter Miami,,2,x,1,,Porto,inter_miami-vs-porto
2025-06-19 22h,2,Seattle Sounders,,1,x,3,,Atlético de Madrid,seattle_sounders-vs-atlético_de_madrid
2025-06-20 01h,2,Paris Saint-Germain,,0,x,1,,Botafogo,paris_saint_germain-vs-botafogo
2025-06-20 16h,2,Benfica,,6,x,0,,Auckland City,benfica-vs-auckland_city
2025-06-20 18h,2,Flamengo,,3,x,1,,Chelsea,flamengo-vs-chelsea
2025-06-20 22h,2,Los Angeles FC,,0,x,1,,Espérance,los_angeles_fc-vs-espérance
2025-06-21 01h,2,Bayern de Munique,,2,x,1,,Boca Juniors,bayern_de_munique-vs-boca_juniors
2025-06-21 16h,2,Mamelodi Sundowns,,3,x,4,,Borussia Dortmund,mamelodi_sundowns-vs-borussia_dortmund
