team,group,p,w,d,l,gf,ga,pts,gd
Palmeiras,A,3,1,2,0,4,2,5,2
Inter Miami,A,3,1,2,0,4,3,5,1
Porto,A,3,0,2,1,5,6,2,-1
Al Ahly,A,3,0,2,1,4,6,2,-2
Botafogo,B,2,2,0,0,3,1,6,2
Paris Saint-Germain,B,2,1,0,1,2,1,3,1
AtlǸtico de Madrid,B,0,0,0,0,0,0,0,0
Seattle Sounders,B,2,0,0,2,1,4,0,-3
Benfica,C,3,2,1,0,9,2,7,7
Bayern de Munique,C,3,2,0,1,12,2,6,10
Boca Juniors,C,3,0,2,1,4,5,2,-1
Auckland City,C,3,0,1,2,1,17,1,-16
Flamengo,D,2,1,1,0,4,2,4,2
Chelsea,D,2,1,0,1,3,3,3,0
Los Angeles FC,D,2,0,1,1,1,3,1,-2
EspǸrance,D,0,0,0,0,0,0,0,0
Internazionale,E,3,2,1,0,5,2,7,3
Monterrey,E,3,1,2,0,5,1,5,4
River Plate,E,3,1,1,1,3,3,4,0
Urawa Reds,E,3,0,0,3,2,9,0,-7
Borussia Dortmund,F,3,2,1,0,5,3,7,2
Fluminense,F,3,1,2,0,4,2,5,2
Mamelodi Sundowns,F,3,1,1,1,4,4,4,0
Ulsan HD,F,3,0,0,3,2,6,0,-4
Manchester City,G,3,3,0,0,13,2,9,11
Juventus,G,3,2,0,1,11,6,6,5
Al-Ain,G,3,1,0,2,2,12,3,-10
Wydad Casablanca,G,3,0,0,3,2,8,0,-6
Real Madrid,H,3,2,1,0,7,2,7,5
Al-Hilal,H,3,1,2,0,3,1,5,2
RB Salzburg,H,3,1,1,1,2,4,4,-2
Pachuca,H,3,0,0,3,2,7,0,-5
