team,group,p,w,d,l,gf,ga,pts,gd
México,A,1,1,0,0,2,0,3,2
Coréia do Sul,A,1,1,0,0,2,1,3,1
República Tcheca,A,1,0,0,1,1,2,0,-1
África do Sul,A,1,0,0,1,0,2,0,-2
Canadá,B,1,0,1,0,1,1,1,0
Bósnia,B,1,0,1,0,1,1,1,0
Catar,B,1,0,1,0,1,1,1,0
Suíça,B,1,0,1,0,1,1,1,0
Estados Unidos,C,1,1,0,0,4,1,3,3
Austrália,C,1,1,0,0,2,0,3,2
Turquia,C,1,0,0,1,0,2,0,-2
Paraguai,C,1,0,0,1,1,4,0,-3
Escócia,D,1,1,0,0,1,0,3,1
Brasil,D,1,0,1,0,1,1,1,0
Marrocos,D,1,0,1,0,1,1,1,0
Haiti,D,1,0,0,1,0,1,0,-1
Alemanha,E,1,1,0,0,7,1,3,6
Costa do Marfim,E,0,0,0,0,0,0,0,0
Equador,E,0,0,0,0,0,0,0,0
Curaçao,E,1,0,0,1,1,7,0,-6
Holanda,F,1,0,1,0,0,0,1,0
Japão,F,1,0,1,0,0,0,1,0
Suécia,F,0,0,0,0,0,0,0,0
Tunísia,F,0,0,0,0,0,0,0,0
Espanha,G,0,0,0,0,0,0,0,0
Cabo Verde,G,0,0,0,0,0,0,0,0
Arábia Saudita,G,0,0,0,0,0,0,0,0
Uruguai,G,0,0,0,0,0,0,0,0
Bélgica,H,0,0,0,0,0,0,0,0
Egito,H,0,0,0,0,0,0,0,0
Irã,H,0,0,0,0,0,0,0,0
Nova Zelândia,H,0,0,0,0,0,0,0,0
França,I,0,0,0,0,0,0,0,0
Senegal,I,0,0,0,0,0,0,0,0
Iraque,I,0,0,0,0,0,0,0,0
Noruega,I,0,0,0,0,0,0,0,0
Argentina,J,0,0,0,0,0,0,0,0
Argélia,J,0,0,0,0,0,0,0,0
Áustria,J,0,0,0,0,0,0,0,0
Jordânia,J,0,0,0,0,0,0,0,0
Portugal,K,0,0,0,0,0,0,0,0
RD Congo,K,0,0,0,0,0,0,0,0
Uzbequistão,K,0,0,0,0,0,0,0,0
Colômbia,K,0,0,0,0,0,0,0,0
Inglaterra,L,0,0,0,0,0,0,0,0
Croácia,L,0,0,0,0,0,0,0,0
Gana,L,0,0,0,0,0,0,0,0
Panamá,L,0,0,0,0,0,0,0,0
