date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,2.0,x,0.0,,África do Sul,Bolão FWC 2026,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,0.0,x,1.0,,República Tcheca,Bolão FWC 2026,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,0.0,x,1.0,,Bósnia,Bolão FWC 2026,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,1.0,x,0.0,,Paraguai,Bolão FWC 2026,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,1.0,,Suíça,Bolão FWC 2026,catar-vs-suíça
2026-06-13,22h,Brasil,,1.0,x,0.0,,Marrocos,Bolão FWC 2026,brasil-vs-marrocos
2026-06-14,01h,Haiti,,1.0,x,0.0,,Escócia,Bolão FWC 2026,haiti-vs-escócia
2026-06-14,04h,Austrália,,0.0,x,1.0,,Turquia,Bolão FWC 2026,austrália-vs-turquia
2026-06-14,17h,Alemanha,,2.0,x,0.0,,Curaçao,Bolão FWC 2026,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,1.0,x,0.0,,Japão,Bolão FWC 2026,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,1.0,x,0.0,,Equador,Bolão FWC 2026,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,2.0,x,0.0,,Tunísia,Bolão FWC 2026,suécia-vs-tunísia
2026-06-15,16h,Espanha,,2.0,x,0.0,,Cabo Verde,Bolão FWC 2026,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,2.0,x,0.0,,Egito,Bolão FWC 2026,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,0.0,x,1.0,,Uruguai,Bolão FWC 2026,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,2.0,x,0.0,,Nova Zelândia,Bolão FWC 2026,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,0.0,,Senegal,Bolão FWC 2026,frança-vs-senegal
2026-06-16,22h,Iraque,,0.0,x,1.0,,Noruega,Bolão FWC 2026,iraque-vs-noruega
2026-06-17,01h,Argentina,,2.0,x,0.0,,Argélia,Bolão FWC 2026,argentina-vs-argélia
2026-06-17,04h,Áustria,,2.0,x,0.0,,Jordânia,Bolão FWC 2026,áustria-vs-jordânia
2026-06-17,17h,Portugal,,2.0,x,0.0,,RD Congo,Bolão FWC 2026,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,2.0,x,0.0,,Croácia,Bolão FWC 2026,inglaterra-vs-croácia
2026-06-17,23h,Gana,,2.0,x,0.0,,Panamá,Bolão FWC 2026,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,0.0,x,1.0,,Colômbia,Bolão FWC 2026,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,2.0,x,0.0,,África do Sul,Bolão FWC 2026,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,2.0,x,0.0,,Bósnia,Bolão FWC 2026,suíça-vs-bósnia
2026-06-18,22h,Canadá,,2.0,x,0.0,,Catar,Bolão FWC 2026,canadá-vs-catar
2026-06-19,01h,México,,2.0,x,0.0,,Coréia do Sul,Bolão FWC 2026,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,2.0,x,0.0,,Austrália,Bolão FWC 2026,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,0.0,x,1.0,,Marrocos,Bolão FWC 2026,escócia-vs-marrocos
2026-06-20,01h,Brasil,,2.0,x,0.0,,Haiti,Bolão FWC 2026,brasil-vs-haiti
2026-06-20,04h,Turquia,,2.0,x,0.0,,Paraguai,Bolão FWC 2026,turquia-vs-paraguai
2026-06-20,17h,Holanda,,1.0,x,0.0,,Suécia,Bolão FWC 2026,holanda-vs-suécia
2026-06-20,20h,Alemanha,,2.0,x,0.0,,Costa do Marfim,Bolão FWC 2026,alemanha-vs-costa_do_marfim
2026-06-21,00h,Equador,,2.0,x,0.0,,Curaçao,Bolão FWC 2026,equador-vs-curaçao
2026-06-21,04h,Tunísia,,0.0,x,1.0,,Japão,Bolão FWC 2026,tunísia-vs-japão
2026-06-21,16h,Espanha,,2.0,x,0.0,,Arábia Saudita,Bolão FWC 2026,espanha-vs-arábia_saudita
2026-06-21,19h,Bélgica,,2.0,x,0.0,,Irã,Bolão FWC 2026,bélgica-vs-irã
2026-06-21,22h,Uruguai,,2.0,x,0.0,,Cabo Verde,Bolão FWC 2026,uruguai-vs-cabo_verde
2026-06-22,01h,Nova Zelândia,,0.0,x,1.0,,Egito,Bolão FWC 2026,nova_zelândia-vs-egito
2026-06-22,17h,Argentina,,2.0,x,0.0,,Áustria,Bolão FWC 2026,argentina-vs-áustria
2026-06-22,21h,França,,2.0,x,0.0,,Iraque,Bolão FWC 2026,frança-vs-iraque
2026-06-23,00h,Noruega,,1.0,x,0.0,,Senegal,Bolão FWC 2026,noruega-vs-senegal
2026-06-23,03h,Jordânia,,0.0,x,1.0,,Argélia,Bolão FWC 2026,jordânia-vs-argélia
2026-06-23,17h,Portugal,,2.0,x,0.0,,Uzbequistão,Bolão FWC 2026,portugal-vs-uzbequistão
2026-06-23,20h,Inglaterra,,2.0,x,0.0,,Gana,Bolão FWC 2026,inglaterra-vs-gana
2026-06-23,23h,Panamá,,0.0,x,1.0,,Croácia,Bolão FWC 2026,panamá-vs-croácia
2026-06-24,02h,Colômbia,,2.0,x,0.0,,RD Congo,Bolão FWC 2026,colômbia-vs-rd_congo
2026-06-24,19h,Suíça,,2.0,x,0.0,,Canadá,Bolão FWC 2026,suíça-vs-canadá
2026-06-24,19h,Bósnia,,2.0,x,0.0,,Catar,Bolão FWC 2026,bósnia-vs-catar
2026-06-24,22h,Escócia,,0.0,x,1.0,,Brasil,Bolão FWC 2026,escócia-vs-brasil
2026-06-24,22h,Marrocos,,2.0,x,0.0,,Haiti,Bolão FWC 2026,marrocos-vs-haiti
2026-06-25,01h,República Tcheca,,1.0,x,0.0,,México,Bolão FWC 2026,república_tcheca-vs-méxico
2026-06-25,01h,África do Sul,,0.0,x,1.0,,Coréia do Sul,Bolão FWC 2026,áfrica_do_sul-vs-coréia_do_sul
2026-06-25,20h,Curaçao,,0.0,x,1.0,,Costa do Marfim,Bolão FWC 2026,curaçao-vs-costa_do_marfim
2026-06-25,20h,Equador,,0.0,x,1.0,,Alemanha,Bolão FWC 2026,equador-vs-alemanha
2026-06-25,23h,Japão,,1.0,x,0.0,,Suécia,Bolão FWC 2026,japão-vs-suécia
2026-06-25,23h,Tunísia,,0.0,x,1.0,,Holanda,Bolão FWC 2026,tunísia-vs-holanda
2026-06-26,02h,Turquia,,2.0,x,0.0,,Estados Unidos,Bolão FWC 2026,turquia-vs-estados_unidos
2026-06-26,02h,Paraguai,,2.0,x,0.0,,Austrália,Bolão FWC 2026,paraguai-vs-austrália
2026-06-26,19h,Noruega,,0.0,x,1.0,,França,Bolão FWC 2026,noruega-vs-frança
2026-06-26,19h,Senegal,,2.0,x,0.0,,Iraque,Bolão FWC 2026,senegal-vs-iraque
2026-06-27,00h,Cabo Verde,,0.0,x,1.0,,Arábia Saudita,Bolão FWC 2026,cabo_verde-vs-arábia_saudita
2026-06-27,00h,Uruguai,,0.0,x,1.0,,Espanha,Bolão FWC 2026,uruguai-vs-espanha
2026-06-27,03h,Egito,,1.0,x,0.0,,Irã,Bolão FWC 2026,egito-vs-irã
2026-06-27,03h,Nova Zelândia,,0.0,x,1.0,,Bélgica,Bolão FWC 2026,nova_zelândia-vs-bélgica
2026-06-27,21h,Panamá,,0.0,x,1.0,,Inglaterra,Bolão FWC 2026,panamá-vs-inglaterra
2026-06-27,21h,Croácia,,1.0,x,0.0,,Gana,Bolão FWC 2026,croácia-vs-gana
2026-06-27,23h,Colômbia,,1.0,x,0.0,,Portugal,Bolão FWC 2026,colômbia-vs-portugal
2026-06-27,23h,RD Congo,,2.0,x,0.0,,Uzbequistão,Bolão FWC 2026,rd_congo-vs-uzbequistão
2026-06-28,02h,Argélia,,0.0,x,1.0,,Áustria,Bolão FWC 2026,argélia-vs-áustria
2026-06-28,02h,Jordânia,,0.0,x,1.0,,Argentina,Bolão FWC 2026,jordânia-vs-argentina
