boleiro,phase,team
Bolão FWC 2026,segunda_fase,México
Bolão FWC 2026,segunda_fase,Bósnia
Bolão FWC 2026,segunda_fase,Brasil
Bolão FWC 2026,segunda_fase,Japão
Bolão FWC 2026,segunda_fase,Alemanha
Bolão FWC 2026,segunda_fase,Paraguai
Bolão FWC 2026,segunda_fase,Holanda
Bolão FWC 2026,segunda_fase,Marrocos
Bolão FWC 2026,segunda_fase,Equador
Bolão FWC 2026,segunda_fase,Noruega
Bolão FWC 2026,segunda_fase,França
Bolão FWC 2026,segunda_fase,Suécia
Bolão FWC 2026,segunda_fase,República Tcheca
Bolão FWC 2026,segunda_fase,Costa do Marfim
Bolão FWC 2026,segunda_fase,Inglaterra
Bolão FWC 2026,segunda_fase,Senegal
Bolão FWC 2026,segunda_fase,Bélgica
Bolão FWC 2026,segunda_fase,Coréia do Sul
Bolão FWC 2026,segunda_fase,Turquia
Bolão FWC 2026,segunda_fase,Canadá
Bolão FWC 2026,segunda_fase,Espanha
Bolão FWC 2026,segunda_fase,Áustria
Bolão FWC 2026,segunda_fase,Colômbia
Bolão FWC 2026,segunda_fase,Gana
Bolão FWC 2026,segunda_fase,Suíça
Bolão FWC 2026,segunda_fase,Irã
Bolão FWC 2026,segunda_fase,Estados Unidos
Bolão FWC 2026,segunda_fase,Egito
Bolão FWC 2026,segunda_fase,Argentina
Bolão FWC 2026,segunda_fase,Uruguai
Bolão FWC 2026,segunda_fase,Portugal
Bolão FWC 2026,segunda_fase,Croácia
Bolão FWC 2026,oitavas,Bósnia
Bolão FWC 2026,oitavas,Holanda
Bolão FWC 2026,oitavas,Alemanha
Bolão FWC 2026,oitavas,França
Bolão FWC 2026,oitavas,Brasil
Bolão FWC 2026,oitavas,Equador
Bolão FWC 2026,oitavas,República Tcheca
Bolão FWC 2026,oitavas,Inglaterra
Bolão FWC 2026,oitavas,Colômbia
Bolão FWC 2026,oitavas,Espanha
Bolão FWC 2026,oitavas,Turquia
Bolão FWC 2026,oitavas,Bélgica
Bolão FWC 2026,oitavas,Argentina
Bolão FWC 2026,oitavas,Estados Unidos
Bolão FWC 2026,oitavas,Suíça
Bolão FWC 2026,oitavas,Portugal
Bolão FWC 2026,quartas,França
Bolão FWC 2026,quartas,Holanda
Bolão FWC 2026,quartas,Espanha
Bolão FWC 2026,quartas,Bélgica
Bolão FWC 2026,quartas,Brasil
Bolão FWC 2026,quartas,Inglaterra
Bolão FWC 2026,quartas,Argentina
Bolão FWC 2026,quartas,Portugal
Bolão FWC 2026,semi,França
Bolão FWC 2026,semi,Espanha
Bolão FWC 2026,semi,Brasil
Bolão FWC 2026,semi,Portugal
Bolão FWC 2026,terceiro_lugar,Espanha
Bolão FWC 2026,terceiro_lugar,Portugal
Bolão FWC 2026,final,França
Bolão FWC 2026,final,Brasil
