date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2025-06-14,21h,Al Ahly,,0.0,x,2.0,,Inter Miami,Gabão,al_ahly-vs-inter_miami
2025-06-15,13h,Bayern de Munique,,3.0,x,0.0,,Auckland City,Gabão,bayern_de_munique-vs-auckland_city
2025-06-15,16h,Paris Saint-Germain,,2.0,x,1.0,,Atlético de Madrid,Gabão,paris_saint-germain-vs-atlético_de_madrid
2025-06-15,19h,Palmeiras,,1.0,x,1.0,,Porto ,Gabão,palmeiras-vs-porto
2025-06-15,23h,Botafogo,,3.0,x,1.0,,Seattle Sounders,Gabão,botafogo-vs-seattle_sounders
2025-06-16,16h,Chelsea,,2.0,x,0.0,,Los Angeles FC,Gabão,chelsea-vs-los_angeles_fc
2025-06-16,19h,Boca Juniors,,0.0,x,1.0,,Benfica,Gabão,boca_juniors-vs-benfica
2025-06-16,22h,Flamengo,,3.0,x,1.0,,Espérance,Gabão,flamengo-vs-espérance
2025-06-17,13h,Fluminense,,0.0,x,2.0,,Borussia Dortmund,Gabão,fluminense-vs-borussia_dortmund
2025-06-17,16h,River Plate,,1.0,x,0.0,,Urawa Reds,Gabão,river_plate-vs-urawa_reds
2025-06-17,19h,Ulsan HD,,0.0,x,0.0,,Mamelodi Sundowns,Gabão,ulsan_hd-vs-mamelodi_sundowns
2025-06-17,22h,Monterrey,,0.0,x,2.0,,Internazionale,Gabão,monterrey-vs-internazionale
2025-06-18,13h,Manchester City,,4.0,x,0.0,,Wydad Casablanca,Gabão,manchester_city-vs-wydad_casablanca
2025-06-18,16h,Real Madrid,,3.0,x,1.0,,Al-Hilal,Gabão,real_madrid-vs-al-hilal
2025-06-18,19h,Pachuca,,0.0,x,2.0,,RB Salzburg,Gabão,pachuca-vs-rb_salzburg
2025-06-18,22h,Al-Ain,,1.0,x,3.0,,Juventus,Gabão,al-ain-vs-juventus
2025-06-19,13h,Palmeiras,,2.0,x,0.0,,Al Ahly,Gabão,palmeiras-vs-al_ahly
2025-06-19,16h,Inter Miami,,1.0,x,0.0,,Porto ,Gabão,inter_miami-vs-porto
2025-06-19,19h,Seattle Sounders,,0.0,x,2.0,,Atlético de Madrid,Gabão,seattle_sounders-vs-atlético_de_madrid
2025-06-19,22h,Paris Saint-Germain,,3.0,x,0.0,,Botafogo,Gabão,paris_saint-germain-vs-botafogo
2025-06-20,13h,Benfica,,2.0,x,1.0,,Auckland City,Gabão,benfica-vs-auckland_city
2025-06-20,15h,Flamengo,,0.0,x,1.0,,Chelsea,Gabão,flamengo-vs-chelsea
2025-06-20,19h,Los Angeles FC,,0.0,x,0.0,,Espérance,Gabão,los_angeles_fc-vs-espérance
2025-06-20,22h,Bayern de Munique,,2.0,x,1.0,,Boca Juniors,Gabão,bayern_de_munique-vs-boca_juniors
2025-06-21,13h,Mamelodi Sundowns,,1.0,x,3.0,,Borussia Dortmund,Gabão,mamelodi_sundowns-vs-borussia_dortmund
2025-06-21,16h,Internazionale,,2.0,x,1.0,,Urawa Reds,Gabão,internazionale-vs-urawa_reds
2025-06-21,19h,Fluminense,,2.0,x,1.0,,Ulsan HD,Gabão,fluminense-vs-ulsan_hd
2025-06-21,22h,River Plate,,3.0,x,1.0,,Monterrey,Gabão,river_plate-vs-monterrey
2025-06-22,13h,Juventus,,3.0,x,0.0,,Wydad Casablanca,Gabão,juventus-vs-wydad_casablanca
2025-06-22,16h,Real Madrid,,3.0,x,0.0,,Pachuca,Gabão,real_madrid-vs-pachuca
2025-06-22,19h,RB Salzburg,,1.0,x,1.0,,Al-Hilal,Gabão,rb_salzburg-vs-al-hilal
2025-06-22,22h,Manchester City,,4.0,x,1.0,,Al-Ain,Gabão,manchester_city-vs-al-ain
2025-06-23,16h,Seattle Sounders,,1.0,x,4.0,,Paris Saint-Germain,Gabão,seattle_sounders-vs-paris_saint-germain
2025-06-23,16h,Atlético de Madrid,,1.0,x,0.0,,Botafogo,Gabão,atlético_de_madrid-vs-botafogo
2025-06-23,22h,Inter Miami,,1.0,x,2.0,,Palmeiras,Gabão,inter_miami-vs-palmeiras
2025-06-23,22h,Porto,,3.0,x,1.0,,Al Ahly,Gabão,porto-vs-al_ahly
2025-06-24,16h,Benfica,,1.0,x,1.0,,Bayern de Munique,Gabão,benfica-vs-bayern_de_munique
2025-06-24,16h,Auckland City,,0.0,x,1.0,,Boca Juniors,Gabão,auckland_city-vs-boca_juniors
2025-06-24,22h,Los Angeles FC,,1.0,x,2.0,,Flamengo,Gabão,los_angeles_fc-vs-flamengo
2025-06-24,22h,Espérance,,1.0,x,3.0,,Chelsea,Gabão,espérance-vs-chelsea
2025-06-25,16h,Mamelodi Sundowns,,0.0,x,1.0,,Fluminense,Gabão,mamelodi_sundowns-vs-fluminense
2025-06-25,16h,Borussia Dortmund,,3.0,x,0.0,,Ulsan HD,Gabão,borussia_dortmund-vs-ulsan_hd
2025-06-25,22h,Internazionale,,2.0,x,0.0,,River Plate,Gabão,internazionale-vs-river_plate
2025-06-25,22h,Urawa Reds,,1.0,x,1.0,,Monterrey,Gabão,urawa_reds-vs-monterrey
2025-06-26,16h,Juventus,,1.0,x,2.0,,Manchester City,Gabão,juventus-vs-manchester_city
2025-06-26,16h,Wydad Casablanca,,1.0,x,3.0,,Al-Ain,Gabão,wydad_casablanca-vs-al-ain
2025-06-26,22h,RB Salzburg,,1.0,x,2.0,,Real Madrid,Gabão,rb_salzburg-vs-real_madrid
2025-06-26,22h,Al-Hilal,,2.0,x,2.0,,Pachuca,Gabão,al-hilal-vs-pachuca
