date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,2.0,x,0.0,,África do Sul,LLM GPT,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,1.0,x,1.0,,República Tcheca,LLM GPT,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,1.0,x,1.0,,Bósnia,LLM GPT,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,2.0,x,1.0,,Paraguai,LLM GPT,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,2.0,,Suíça,LLM GPT,catar-vs-suíça
2026-06-13,22h,Brasil,,2.0,x,1.0,,Marrocos,LLM GPT,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,2.0,,Escócia,LLM GPT,haiti-vs-escócia
2026-06-14,04h,Austrália,,1.0,x,2.0,,Turquia,LLM GPT,austrália-vs-turquia
2026-06-14,17h,Alemanha,,4.0,x,0.0,,Curaçao,LLM GPT,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,2.0,x,1.0,,Japão,LLM GPT,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,1.0,x,1.0,,Equador,LLM GPT,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,1.0,x,0.0,,Tunísia,LLM GPT,suécia-vs-tunísia
2026-06-15,16h,Espanha,,3.0,x,0.0,,Cabo Verde,LLM GPT,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,2.0,x,1.0,,Egito,LLM GPT,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,0.0,x,2.0,,Uruguai,LLM GPT,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,2.0,x,0.0,,Nova Zelândia,LLM GPT,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,1.0,,Senegal,LLM GPT,frança-vs-senegal
2026-06-16,22h,Iraque,,1.0,x,2.0,,Noruega,LLM GPT,iraque-vs-noruega
2026-06-17,01h,Argentina,,2.0,x,0.0,,Argélia,LLM GPT,argentina-vs-argélia
2026-06-17,04h,Áustria,,2.0,x,0.0,,Jordânia,LLM GPT,áustria-vs-jordânia
2026-06-17,17h,Portugal,,3.0,x,0.0,,RD Congo,LLM GPT,portugal-vs-rd_congo
