date,hour,home_team,home_pen,home_goals,x,away_goals,away_pen,away_team,who,match
2026-06-11,19h,México,,2.0,x,1.0,,África do Sul,LLM Gemini,méxico-vs-áfrica_do_sul
2026-06-12,02h,Coréia do Sul,,1.0,x,1.0,,República Tcheca,LLM Gemini,coréia_do_sul-vs-república_tcheca
2026-06-12,19h,Canadá,,1.0,x,1.0,,Bósnia,LLM Gemini,canadá-vs-bósnia
2026-06-13,01h,Estados Unidos,,2.0,x,1.0,,Paraguai,LLM Gemini,estados_unidos-vs-paraguai
2026-06-13,19h,Catar,,0.0,x,2.0,,Suíça,LLM Gemini,catar-vs-suíça
2026-06-13,22h,Brasil,,2.0,x,1.0,,Marrocos,LLM Gemini,brasil-vs-marrocos
2026-06-14,01h,Haiti,,0.0,x,2.0,,Escócia,LLM Gemini,haiti-vs-escócia
2026-06-14,04h,Austrália,,1.0,x,1.0,,Turquia,LLM Gemini,austrália-vs-turquia
2026-06-14,17h,Alemanha,,4.0,x,0.0,,Curaçao,LLM Gemini,alemanha-vs-curaçao
2026-06-14,20h,Holanda,,2.0,x,1.0,,Japão,LLM Gemini,holanda-vs-japão
2026-06-14,23h,Costa do Marfim,,1.0,x,1.0,,Equador,LLM Gemini,costa_do_marfim-vs-equador
2026-06-15,02h,Suécia,,2.0,x,0.0,,Tunísia,LLM Gemini,suécia-vs-tunísia
2026-06-15,16h,Espanha,,3.0,x,0.0,,Cabo Verde,LLM Gemini,espanha-vs-cabo_verde
2026-06-15,19h,Bélgica,,3.0,x,1.0,,Egito,LLM Gemini,bélgica-vs-egito
2026-06-15,22h,Arábia Saudita,,0.0,x,2.0,,Uruguai,LLM Gemini,arábia_saudita-vs-uruguai
2026-06-16,01h,Irã,,2.0,x,0.0,,Nova Zelândia,LLM Gemini,irã-vs-nova_zelândia
2026-06-16,19h,França,,2.0,x,1.0,,Senegal,LLM Gemini,frança-vs-senegal
2026-06-16,22h,Iraque,,0.0,x,2.0,,Noruega,LLM Gemini,iraque-vs-noruega
2026-06-17,01h,Argentina,,3.0,x,1.0,,Argélia,LLM Gemini,argentina-vs-argélia
2026-06-17,04h,Áustria,,2.0,x,0.0,,Jordânia,LLM Gemini,áustria-vs-jordânia
2026-06-17,17h,Portugal,,3.0,x,1.0,,RD Congo,LLM Gemini,portugal-vs-rd_congo
2026-06-17,20h,Inglaterra,,2.0,x,1.0,,Croácia,LLM Gemini,inglaterra-vs-croácia
2026-06-17,23h,Gana,,2.0,x,0.0,,Panamá,LLM Gemini,gana-vs-panamá
2026-06-18,02h,Uzbequistão,,0.0,x,2.0,,Colômbia,LLM Gemini,uzbequistão-vs-colômbia
2026-06-18,16h,República Tcheca,,1.0,x,0.0,,África do Sul,LLM Gemini,república_tcheca-vs-áfrica_do_sul
2026-06-18,19h,Suíça,,2.0,x,1.0,,Bósnia,LLM Gemini,suíça-vs-bósnia
2026-06-18,22h,Canadá,,2.0,x,0.0,,Catar,LLM Gemini,canadá-vs-catar
2026-06-19,01h,México,,2.0,x,1.0,,Coréia do Sul,LLM Gemini,méxico-vs-coréia_do_sul
2026-06-19,19h,Estados Unidos,,2.0,x,1.0,,Austrália,LLM Gemini,estados_unidos-vs-austrália
2026-06-19,22h,Escócia,,1.0,x,2.0,,Marrocos,LLM Gemini,escócia-vs-marrocos
2026-06-20,01h,Brasil,,4.0,x,0.0,,Haiti,LLM Gemini,brasil-vs-haiti
2026-06-20,04h,Turquia,,1.0,x,1.0,,Paraguai,LLM Gemini,turquia-vs-paraguai
2026-06-20,17h,Holanda,,2.0,x,2.0,,Suécia,LLM Gemini,holanda-vs-suécia
2026-06-20,20h,Alemanha,,2.0,x,1.0,,Costa do Marfim,LLM Gemini,alemanha-vs-costa_do_marfim
2026-06-21,00h,Equador,,2.0,x,0.0,,Curaçao,LLM Gemini,equador-vs-curaçao
2026-06-21,04h,Tunísia,,1.0,x,1.0,,Japão,LLM Gemini,tunísia-vs-japão
2026-06-21,16h,Espanha,,2.0,x,0.0,,Arábia Saudita,LLM Gemini,espanha-vs-arábia_saudita
2026-06-21,19h,Bélgica,,2.0,x,0.0,,Irã,LLM Gemini,bélgica-vs-irã
2026-06-21,22h,Uruguai,,3.0,x,1.0,,Cabo Verde,LLM Gemini,uruguai-vs-cabo_verde
2026-06-22,01h,Nova Zelândia,,0.0,x,2.0,,Egito,LLM Gemini,nova_zelândia-vs-egito
2026-06-22,17h,Argentina,,2.0,x,1.0,,Áustria,LLM Gemini,argentina-vs-áustria
2026-06-22,21h,França,,4.0,x,0.0,,Iraque,LLM Gemini,frança-vs-iraque
2026-06-23,00h,Noruega,,1.0,x,1.0,,Senegal,LLM Gemini,noruega-vs-senegal
2026-06-23,03h,Jordânia,,0.0,x,2.0,,Argélia,LLM Gemini,jordânia-vs-argélia
2026-06-23,17h,Portugal,,2.0,x,0.0,,Uzbequistão,LLM Gemini,portugal-vs-uzbequistão
2026-06-23,20h,Inglaterra,,2.0,x,1.0,,Gana,LLM Gemini,inglaterra-vs-gana
2026-06-23,23h,Panamá,,0.0,x,2.0,,Croácia,LLM Gemini,panamá-vs-croácia
2026-06-24,02h,Colômbia,,2.0,x,1.0,,RD Congo,LLM Gemini,colômbia-vs-rd_congo
2026-06-24,19h,Suíça,,1.0,x,1.0,,Canadá,LLM Gemini,suíça-vs-canadá
2026-06-24,19h,Bósnia,,2.0,x,1.0,,Catar,LLM Gemini,bósnia-vs-catar
2026-06-24,22h,Escócia,,1.0,x,2.0,,Brasil,LLM Gemini,escócia-vs-brasil
2026-06-24,22h,Marrocos,,3.0,x,0.0,,Haiti,LLM Gemini,marrocos-vs-haiti
2026-06-25,01h,República Tcheca,,1.0,x,2.0,,México,LLM Gemini,república_tcheca-vs-méxico
2026-06-25,01h,África do Sul,,1.0,x,2.0,,Coréia do Sul,LLM Gemini,áfrica_do_sul-vs-coréia_do_sul
2026-06-25,20h,Curaçao,,0.0,x,3.0,,Costa do Marfim,LLM Gemini,curaçao-vs-costa_do_marfim
2026-06-25,20h,Equador,,1.0,x,2.0,,Alemanha,LLM Gemini,equador-vs-alemanha
2026-06-25,23h,Japão,,1.0,x,2.0,,Suécia,LLM Gemini,japão-vs-suécia
2026-06-25,23h,Tunísia,,0.0,x,3.0,,Holanda,LLM Gemini,tunísia-vs-holanda
2026-06-26,02h,Turquia,,1.0,x,1.0,,Estados Unidos,LLM Gemini,turquia-vs-estados_unidos
2026-06-26,02h,Paraguai,,1.0,x,2.0,,Austrália,LLM Gemini,paraguai-vs-austrália
2026-06-26,19h,Noruega,,2.0,x,2.0,,França,LLM Gemini,noruega-vs-frança
2026-06-26,19h,Senegal,,2.0,x,0.0,,Iraque,LLM Gemini,senegal-vs-iraque
2026-06-27,00h,Cabo Verde,,1.0,x,2.0,,Arábia Saudita,LLM Gemini,cabo_verde-vs-arábia_saudita
2026-06-27,00h,Uruguai,,1.0,x,1.0,,Espanha,LLM Gemini,uruguai-vs-espanha
2026-06-27,03h,Egito,,1.0,x,1.0,,Irã,LLM Gemini,egito-vs-irã
2026-06-27,03h,Nova Zelândia,,0.0,x,4.0,,Bélgica,LLM Gemini,nova_zelândia-vs-bélgica
2026-06-27,21h,Panamá,,0.0,x,3.0,,Inglaterra,LLM Gemini,panamá-vs-inglaterra
2026-06-27,21h,Croácia,,2.0,x,1.0,,Gana,LLM Gemini,croácia-vs-gana
2026-06-27,23h,Colômbia,,1.0,x,1.0,,Portugal,LLM Gemini,colômbia-vs-portugal
2026-06-27,23h,RD Congo,,1.0,x,1.0,,Uzbequistão,LLM Gemini,rd_congo-vs-uzbequistão
2026-06-28,02h,Argélia,,1.0,x,1.0,,Áustria,LLM Gemini,argélia-vs-áustria
2026-06-28,02h,Jordânia,,0.0,x,4.0,,Argentina,LLM Gemini,jordânia-vs-argentina
