date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,home_pen_bol,away_pen_bol,home_pen_real,away_pen_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who,pontos,criterio,valido,1-Placar exato,2-Vencedor + gols de um time (erro <= 2),3-Vencedor + diferenca de gols (erro <= 2),4-Empate c/ erro total <= 2,5-Vencedor + gols de um time (erro > 2),6-Vencedor correto,7-Qualquer outro empate,8-Gols de um time,9-Nenhum acerto,99-Sem jogo
2026-06-11,13h,méxico-vs-áfrica_do_sul,México,África do Sul,2.0,1.0,,,,,,,2 x 1,México,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-11,20h,coréia_do_sul-vs-república_tcheca,Coréia do Sul,República Tcheca,1.0,1.0,,,,,,,1 x 1,empate,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-12,15h,canadá-vs-bósnia,Canadá,Bósnia,1.0,1.0,,,,,,,1 x 1,empate,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-12,18h,estados_unidos-vs-paraguai,Estados Unidos,Paraguai,2.0,1.0,4.0,1.0,,,,,2 x 1,Estados Unidos,4 x 1,Estados Unidos,LLM Gemini,10,2-Vencedor + gols de um time (erro <= 2),1,False,True,False,False,False,False,False,False,False,False
2026-06-13,12h,catar-vs-suíça,Catar,Suíça,0.0,2.0,,,,,,,0 x 2,Suíça,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-13,18h,brasil-vs-marrocos,Brasil,Marrocos,2.0,1.0,,,,,,,2 x 1,Brasil,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-13,21h,haiti-vs-escócia,Haiti,Escócia,0.0,2.0,,,,,,,0 x 2,Escócia,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-13,21h,austrália-vs-turquia,Austrália,Turquia,1.0,1.0,,,,,,,1 x 1,empate,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-14,12h,alemanha-vs-curaçao,Alemanha,Curaçao,4.0,0.0,,,,,,,4 x 0,Alemanha,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-14,15h,holanda-vs-japão,Holanda,Japão,2.0,1.0,,,,,,,2 x 1,Holanda,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-14,19h,costa_do_marfim-vs-equador,Costa do Marfim,Equador,1.0,1.0,,,,,,,1 x 1,empate,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-14,20h,suécia-vs-tunísia,Suécia,Tunísia,2.0,0.0,,,,,,,2 x 0,Suécia,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-15,12h,espanha-vs-cabo_verde,Espanha,Cabo Verde,3.0,0.0,,,,,,,3 x 0,Espanha,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-15,12h,bélgica-vs-egito,Bélgica,Egito,3.0,1.0,,,,,,,3 x 1,Bélgica,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-15,18h,arábia_saudita-vs-uruguai,Arábia Saudita,Uruguai,0.0,2.0,,,,,,,0 x 2,Uruguai,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-15,18h,irã-vs-nova_zelândia,Irã,Nova Zelândia,2.0,0.0,,,,,,,2 x 0,Irã,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-16,15h,frança-vs-senegal,França,Senegal,2.0,1.0,,,,,,,2 x 1,França,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-16,18h,iraque-vs-noruega,Iraque,Noruega,0.0,2.0,,,,,,,0 x 2,Noruega,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-16,20h,argentina-vs-argélia,Argentina,Argélia,3.0,1.0,,,,,,,3 x 1,Argentina,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-16,21h,áustria-vs-jordânia,Áustria,Jordânia,2.0,0.0,,,,,,,2 x 0,Áustria,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-17,12h,portugal-vs-rd_congo,Portugal,RD Congo,3.0,1.0,,,,,,,3 x 1,Portugal,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-17,15h,inglaterra-vs-croácia,Inglaterra,Croácia,2.0,1.0,,,,,,,2 x 1,Inglaterra,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-17,19h,gana-vs-panamá,Gana,Panamá,2.0,0.0,,,,,,,2 x 0,Gana,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-17,20h,uzbequistão-vs-colômbia,Uzbequistão,Colômbia,0.0,2.0,,,,,,,0 x 2,Colômbia,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-18,12h,república_tcheca-vs-áfrica_do_sul,República Tcheca,África do Sul,1.0,0.0,,,,,,,1 x 0,República Tcheca,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-18,12h,suíça-vs-bósnia,Suíça,Bósnia,2.0,1.0,,,,,,,2 x 1,Suíça,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-18,15h,canadá-vs-catar,Canadá,Catar,2.0,0.0,,,,,,,2 x 0,Canadá,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-18,19h,méxico-vs-coréia_do_sul,México,Coréia do Sul,2.0,1.0,,,,,,,2 x 1,México,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-19,12h,estados_unidos-vs-austrália,Estados Unidos,Austrália,2.0,1.0,,,,,,,2 x 1,Estados Unidos,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-19,18h,escócia-vs-marrocos,Escócia,Marrocos,1.0,2.0,,,,,,,1 x 2,Marrocos,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-19,20h,turquia-vs-paraguai,Turquia,Paraguai,1.0,1.0,,,,,,,1 x 1,empate,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-19,21h,brasil-vs-haiti,Brasil,Haiti,4.0,0.0,,,,,,,4 x 0,Brasil,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-20,12h,holanda-vs-suécia,Holanda,Suécia,2.0,2.0,,,,,,,2 x 2,empate,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-20,16h,alemanha-vs-costa_do_marfim,Alemanha,Costa do Marfim,2.0,1.0,,,,,,,2 x 1,Alemanha,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-20,19h,equador-vs-curaçao,Equador,Curaçao,2.0,0.0,,,,,,,2 x 0,Equador,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-20,22h,tunísia-vs-japão,Tunísia,Japão,1.0,1.0,,,,,,,1 x 1,empate,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-21,12h,espanha-vs-arábia_saudita,Espanha,Arábia Saudita,2.0,0.0,,,,,,,2 x 0,Espanha,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-21,12h,bélgica-vs-irã,Bélgica,Irã,2.0,0.0,,,,,,,2 x 0,Bélgica,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-21,18h,nova_zelândia-vs-egito,Nova Zelândia,Egito,0.0,2.0,,,,,,,0 x 2,Egito,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-21,18h,uruguai-vs-cabo_verde,Uruguai,Cabo Verde,3.0,1.0,,,,,,,3 x 1,Uruguai,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-22,12h,argentina-vs-áustria,Argentina,Áustria,2.0,1.0,,,,,,,2 x 1,Argentina,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-22,17h,frança-vs-iraque,França,Iraque,4.0,0.0,,,,,,,4 x 0,França,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-22,20h,noruega-vs-senegal,Noruega,Senegal,1.0,1.0,,,,,,,1 x 1,empate,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-22,20h,jordânia-vs-argélia,Jordânia,Argélia,0.0,2.0,,,,,,,0 x 2,Argélia,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-23,12h,portugal-vs-uzbequistão,Portugal,Uzbequistão,2.0,0.0,,,,,,,2 x 0,Portugal,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-23,16h,inglaterra-vs-gana,Inglaterra,Gana,2.0,1.0,,,,,,,2 x 1,Inglaterra,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-23,19h,panamá-vs-croácia,Panamá,Croácia,0.0,2.0,,,,,,,0 x 2,Croácia,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
2026-06-23,20h,colômbia-vs-rd_congo,Colômbia,RD Congo,2.0,1.0,,,,,,,2 x 1,Colômbia,,,LLM Gemini,0,99-Sem jogo,0,False,False,False,False,False,False,False,False,False,True
