boleiro,phase,team
LLM Gemini,campeao,Brasil
LLM Gemini,segunda_fase,Coréia do Sul
LLM Gemini,segunda_fase,Canadá
LLM Gemini,segunda_fase,Brasil
LLM Gemini,segunda_fase,Suécia
LLM Gemini,segunda_fase,Alemanha
LLM Gemini,segunda_fase,Escócia
LLM Gemini,segunda_fase,Holanda
LLM Gemini,segunda_fase,Marrocos
LLM Gemini,segunda_fase,Costa do Marfim
LLM Gemini,segunda_fase,Noruega
LLM Gemini,segunda_fase,França
LLM Gemini,segunda_fase,Irã
LLM Gemini,segunda_fase,México
LLM Gemini,segunda_fase,Equador
LLM Gemini,segunda_fase,Inglaterra
LLM Gemini,segunda_fase,Senegal
LLM Gemini,segunda_fase,Bélgica
LLM Gemini,segunda_fase,República Tcheca
LLM Gemini,segunda_fase,Estados Unidos
LLM Gemini,segunda_fase,Bósnia
LLM Gemini,segunda_fase,Espanha
LLM Gemini,segunda_fase,Áustria
LLM Gemini,segunda_fase,Colômbia
LLM Gemini,segunda_fase,Croácia
LLM Gemini,segunda_fase,Suíça
LLM Gemini,segunda_fase,Argélia
LLM Gemini,segunda_fase,Austrália
LLM Gemini,segunda_fase,Egito
LLM Gemini,segunda_fase,Argentina
LLM Gemini,segunda_fase,Uruguai
LLM Gemini,segunda_fase,Portugal
LLM Gemini,segunda_fase,Gana
LLM Gemini,oitavas,Coréia do Sul
LLM Gemini,oitavas,Holanda
LLM Gemini,oitavas,Alemanha
LLM Gemini,oitavas,França
LLM Gemini,oitavas,Brasil
LLM Gemini,oitavas,Noruega
LLM Gemini,oitavas,México
LLM Gemini,oitavas,Inglaterra
LLM Gemini,oitavas,Colômbia
LLM Gemini,oitavas,Espanha
LLM Gemini,oitavas,Estados Unidos
LLM Gemini,oitavas,Bélgica
LLM Gemini,oitavas,Argentina
LLM Gemini,oitavas,Austrália
LLM Gemini,oitavas,Argélia
LLM Gemini,oitavas,Portugal
LLM Gemini,quartas,França
LLM Gemini,quartas,Holanda
LLM Gemini,quartas,Colômbia
LLM Gemini,quartas,Estados Unidos
LLM Gemini,quartas,Brasil
LLM Gemini,quartas,Inglaterra
LLM Gemini,quartas,Argentina
LLM Gemini,quartas,Portugal
LLM Gemini,semi,França
LLM Gemini,semi,Estados Unidos
LLM Gemini,semi,Brasil
LLM Gemini,semi,Argentina
LLM Gemini,terceiro_lugar,Estados Unidos
LLM Gemini,terceiro_lugar,Argentina
LLM Gemini,final,França
LLM Gemini,final,Brasil
